Step_ID,Track_ID,Ensemble_Name,Ensemble_Member,Run_Date,Valid_Date,Forecast_Hour,Valid_Hour_UTC,Duration,Centroid_Lon,Centroid_Lat,Centroid_X,Centroid_Y,Storm_Motion_U,Storm_Motion_V,REFL_1KM_AGL_mean,REFL_1KM_AGL_max,REFL_1KM_AGL_min,U10_mean,U10_max,U10_min,V10_mean,V10_max,V10_min,MLCAPE-potential_mean,MLCAPE-potential_max,MLCAPE-potential_min,area,eccentricity,major_axis_length,minor_axis_length,orientation,Matched,Max_Hail_Size,Num_Matches,Shape,Location,Scale
d01_REFL_COM_20110428-0000_29_30_249_01,d01_REFL_COM_20110428-0000_29_30_249,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,2,-80.17108,26.65735,2082632.69059,-1059394.65806,6000.00000,0.00000,42.21907,48.27784,29.92048,1.18774,3.92843,-3.37809,3.08228,7.98444,-0.18349,1241.33899,1712.00232,282.83267,75,0.52669,10.94118,9.30061,-0.84567,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_250_00,d01_REFL_COM_20110428-0000_29_29_250,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-79.89706,27.82599,2079226.63539,-924973.68845,9000.00000,-15000.00000,41.34694,48.44616,24.36238,0.85304,3.63834,-1.42386,7.39916,8.33992,6.20962,1053.67822,1339.89514,793.71381,24,0.67951,6.42639,4.71480,-1.01396,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_251_00,d01_REFL_COM_20110428-0000_29_29_251,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-82.57308,28.59909,1801969.05617,-897394.08366,45000.00000,51000.00000,40.07843,51.40805,16.42969,3.55827,10.09139,0.72464,-4.66236,2.52152,-9.95465,1714.32849,2435.92090,499.74368,194,0.94378,29.83435,9.86236,0.53670,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_30_252_00,d01_REFL_COM_20110428-0000_29_30_252,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-79.76412,28.11005,2084690.00569,-890870.36509,18000.00000,24000.00000,42.00355,50.94030,24.65183,0.51232,2.46170,-2.10480,9.27432,10.96607,7.47004,878.43719,1472.73706,450.06839,60,0.84876,13.18529,6.97211,-0.24798,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_30_252_01,d01_REFL_COM_20110428-0000_29_30_252,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,2,-79.32524,28.55335,2115198.12724,-832348.33606,30000.00000,36000.00000,41.06239,49.48328,26.29371,0.54939,2.68881,-3.49403,8.85499,11.41767,6.49759,918.66296,1479.61768,603.59277,112,0.93208,23.54873,8.53037,0.14220,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_253_00,d01_REFL_COM_20110428-0000_29_29_253,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-78.31712,30.60265,2154921.90526,-586258.85378,9000.00000,15000.00000,40.36740,49.29984,17.69665,1.48474,2.58152,-0.53284,9.15318,11.40180,6.26407,1361.65381,1549.19580,1117.05542,39,0.87761,11.13834,5.33954,-0.31832,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_254_00,d01_REFL_COM_20110428-0000_29_29_254,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-78.03739,31.21434,2163877.55489,-513576.53739,-6000.00000,-12000.00000,40.66170,47.74955,26.62995,1.30880,2.81133,-0.35341,9.83699,11.11462,8.71023,625.01483,738.61945,496.38327,18,0.47692,5.07645,4.46192,-0.44342,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_31_255_00,d01_REFL_COM_20110428-0000_29_31_255,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-74.62485,35.91766,2327630.69301,73310.20459,63000.00000,93000.00000,41.65932,53.16757,16.84771,4.43226,12.55076,-2.36551,9.67604,17.93798,3.77633,575.61353,972.38690,5.18741,507,0.89723,40.94124,18.07791,0.54414,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_31_255_01,d01_REFL_COM_20110428-0000_29_31_255,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 06:00:00+00:00,30,6,2,-73.68735,36.67380,2383154.27222,177542.81573,60000.00000,96000.00000,40.21986,52.75422,0.00000,4.33549,9.56450,-2.20843,7.80636,17.29123,3.38433,127.98523,656.22253,0.00000,541,0.86241,39.31220,19.90020,0.45307,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_31_255_02,d01_REFL_COM_20110428-0000_29_31_255,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 07:00:00+00:00,31,7,3,-72.75557,37.37878,2438041.53267,276508.08003,48000.00000,78000.00000,39.77613,53.00043,0.00000,4.20870,9.90018,-0.49674,7.82576,11.55391,2.38147,7.61251,510.95535,0.00000,475,0.86805,40.83459,20.27346,0.53228,0,0,0,0,0,0
d01_REFL_COM_20110428-0000_29_29_256_00,d01_REFL_COM_20110428-0000_29_29_256,NCARSTORM,d01,2011-04-28 00:00:00+00:00,2011-04-29 05:00:00+00:00,29,5,1,-73.88060,36.72509,2365131.62891,177902.89714,0.00000,6000.00000,40.23279,48.45993,26.85461,1.66816,4.07123,-0.80545,10.14691,12.14991,7.39082,0.00000,0.00000,0.00000,27,0.52933,6.39444,5.42514,-0.40489,0,0,0,0,0,0
